service_id,date,exception_type
5,20231203,2
5,20231210,2
5,20231217,2
5,20231224,2
5,20231231,2
9,20231204,2
9,20231211,2
9,20231218,2
9,20231225,2
9,20231128,2
9,20231205,2
9,20231212,2
9,20231219,2
9,20231226,2
9,20231129,2
9,20231206,2
9,20231213,2
9,20231220,2
9,20231227,2
9,20231123,2
9,20231130,2
9,20231207,2
9,20231214,2
9,20231221,2
9,20231228,2
3,20231201,2
3,20231208,2
3,20231215,2
3,20231222,2
3,20231229,2
4,20231202,2
4,20231209,2
4,20231216,2
4,20231223,2
4,20231230,2
